HW1|AC1|KHI|LHE|06:00|08:00|20-12-2025|180|45|SCHEDULED
HW2|AC2|LHE|KHI|09:00|11:00|20-12-2025|150|32|SCHEDULED
HW3|AC3|KHI|ISB|07:30|09:30|20-12-2025|200|78|SCHEDULED
HW4|AC1|ISB|KHI|10:00|12:00|20-12-2025|180|56|SCHEDULED
HW5|AC4|LHE|ISB|08:00|09:00|20-12-2025|120|89|SCHEDULED
HW6|AC2|ISB|LHE|11:00|12:00|20-12-2025|150|43|SCHEDULED
HW7|AC5|KHI|PEW|06:30|09:30|20-12-2025|180|67|SCHEDULED
HW8|AC3|PEW|KHI|10:30|13:30|20-12-2025|200|91|SCHEDULED
HW9|AC6|LHE|PEW|07:00|09:00|20-12-2025|160|102|SCHEDULED
HW10|AC1|PEW|LHE|10:00|12:00|20-12-2025|180|34|SCHEDULED
HW11|AC4|ISB|PEW|08:30|09:30|20-12-2025|120|56|SCHEDULED
HW12|AC2|PEW|ISB|11:30|12:30|20-12-2025|150|67|SCHEDULED
HW13|AC5|KHI|UET|07:00|11:00|20-12-2025|180|123|SCHEDULED
HW14|AC3|UET|KHI|12:00|16:00|20-12-2025|200|78|SCHEDULED
HW15|AC6|LHE|UET|08:00|12:00|20-12-2025|160|45|SCHEDULED
HW16|AC1|UET|LHE|13:00|17:00|20-12-2025|180|89|SCHEDULED
HW17|AC4|ISB|UET|09:00|12:00|20-12-2025|120|67|SCHEDULED
HW18|AC2|UET|ISB|13:30|16:30|20-12-2025|150|54|SCHEDULED
HW19|AC5|KHI|SKT|08:00|11:00|20-12-2025|180|98|SCHEDULED
HW20|AC3|SKT|KHI|12:00|15:00|20-12-2025|200|76|SCHEDULED
HW21|AC1|KHI|LHE|14:00|16:00|20-12-2025|180|134|SCHEDULED
HW22|AC2|LHE|KHI|17:00|19:00|20-12-2025|150|87|SCHEDULED
HW23|AC3|KHI|ISB|15:30|17:30|20-12-2025|200|92|SCHEDULED
HW24|AC4|ISB|KHI|18:00|20:00|20-12-2025|120|65|SCHEDULED
HW25|AC5|LHE|ISB|16:00|17:00|20-12-2025|180|143|SCHEDULED
HW26|AC6|ISB|LHE|19:00|20:00|20-12-2025|160|78|SCHEDULED
HW27|AC1|KHI|PEW|14:30|17:30|20-12-2025|180|90|SCHEDULED
HW28|AC2|PEW|KHI|18:30|21:30|20-12-2025|150|67|SCHEDULED
HW29|AC3|LHE|PEW|15:00|17:00|20-12-2025|200|156|SCHEDULED
HW30|AC4|PEW|LHE|18:00|20:00|20-12-2025|120|54|SCHEDULED
HW31|AC5|ISB|PEW|16:30|17:30|21-12-2025|180|76|SCHEDULED
HW32|AC6|PEW|ISB|19:30|20:30|21-12-2025|160|89|SCHEDULED
HW33|AC1|KHI|UET|15:00|19:00|21-12-2025|180|98|SCHEDULED
HW34|AC2|UET|KHI|20:00|00:00|21-12-2025|150|67|SCHEDULED
HW35|AC3|LHE|UET|16:00|20:00|21-12-2025|200|123|SCHEDULED
HW36|AC4|UET|LHE|21:00|01:00|21-12-2025|120|78|SCHEDULED
HW37|AC5|ISB|UET|17:00|20:00|21-12-2025|180|89|SCHEDULED
HW38|AC6|UET|ISB|21:30|00:30|21-12-2025|160|54|SCHEDULED
HW39|AC1|KHI|SKT|16:00|19:00|21-12-2025|180|112|SCHEDULED
HW40|AC2|SKT|KHI|20:00|23:00|21-12-2025|150|76|SCHEDULED
HW41|AC3|LHE|SKT|06:00|09:00|21-12-2025|200|134|SCHEDULED
HW42|AC4|SKT|LHE|10:00|13:00|21-12-2025|120|87|SCHEDULED
HW43|AC5|ISB|SKT|07:00|10:00|21-12-2025|180|98|SCHEDULED
HW44|AC6|SKT|ISB|11:00|14:00|21-12-2025|160|65|SCHEDULED
HW45|AC1|PEW|SKT|08:00|10:00|21-12-2025|180|89|SCHEDULED
HW46|AC2|SKT|PEW|11:00|13:00|21-12-2025|150|76|SCHEDULED
HW47|AC3|UET|SKT|09:00|13:00|21-12-2025|200|112|SCHEDULED
HW48|AC4|SKT|UET|14:00|18:00|21-12-2025|120|67|SCHEDULED
HW49|AC5|KHI|LHE|06:00|08:00|22-12-2025|180|98|SCHEDULED
HW50|AC6|LHE|KHI|09:00|11:00|22-12-2025|160|89|SCHEDULED
HW51|AC1|KHI|ISB|07:30|09:30|22-12-2025|180|145|SCHEDULED
HW52|AC2|ISB|KHI|10:00|12:00|22-12-2025|150|76|SCHEDULED
HW53|AC3|LHE|ISB|08:00|09:00|22-12-2025|200|123|SCHEDULED
HW54|AC4|ISB|LHE|11:00|12:00|22-12-2025|120|87|SCHEDULED
